tt,Team Name,Practice,Round 1,Round 2,Round 3,High,Rank
16555,The Masterminds,112,107,114,,114,1
633,S.I.L.L.Y Squad,60,45,98,,98,2
26594,Robo Tech Heroes,0,72,86,,86,3
23789,Galaxtic Warriors,6,22,70,50,70,4
24073,Medea Monsters,45,21,66,69,69,5
15724,Robotic Nerds,69,60,16,21,60,6
18757,Moon Raiders,39,28,12,60,60,6
594,Joe Walker - Blue,34,56,38,30,56,8
24935,High Tide Robotics,0,55,24,45,55,9
23856,Val Verde Robots,9,24,24,51,51,10
328,Shark Bait,54,9,48,,48,11
18337,Wild Fire,19,45,42,39,45,12
11899,Bambi Squad,0,10,45,,45,12
13103,Jr. Trojans,24,10,33,45,45,12
24034,Crystal Quasars,25,24,42,,42,15
23258,Heschel RoboHawks 2,13,3,0,39,39,16
23787,Princess Squad Robotics,10,36,3,0,36,17
8625,Kindle the Passion Team 1,57,18,31,,31,18
11895,Jr. Wolverines,0,9,30,,30,19
4541,RoboFox4,48,27,1,30,30,19
23788,Dark Matter Bots,48,19,12,30,30,19
593,At Your Service...Dogs,0,26,18,,26,22
650,RoboHawks,39,24,12,,24,23
11902,RoboScorpions,51,15,18,6,18,24
19653,The Robo Lobos,39,16,10,10,16,25
20538,The Lobotics,13,12,16,,16,25
11907,Iron Dragons,9,15,15,,15,27
11898,Los Angeles Go Getters (LAGG),0,9,15,,15,27
24033,Tadpole Robotics,0,3,12,6,12,29
27685,Albion Jaguars,0,7,3,,7,30
24035,Ghost Op Robotics,0,3,3,0,3,31
23790,Sour Patch Girls,0,0,3,,3,31
8629,Kindle the Passion Team 2,,,,,0,33
23292,Vikings Robotics Club,,,,,0,33
23857,Val Verde Galaxy,0,0,0,,0,33
